threshold,recall,precision,f1,accuracy
0.01,1.0,0.04195804195804196,0.08053691275167786,0.04195804195804196
0.02,1.0,0.042704626334519574,0.08191126279863481,0.05944055944055944
0.03,1.0,0.043478260869565216,0.08333333333333333,0.07692307692307693
0.04,1.0,0.04428044280442804,0.08480565371024734,0.0944055944055944
0.05,1.0,0.045112781954887216,0.08633093525179857,0.11188811188811189
0.060000000000000005,1.0,0.04597701149425287,0.08791208791208792,0.12937062937062938
0.06999999999999999,1.0,0.046875,0.08955223880597014,0.14685314685314685
0.08,1.0,0.04780876494023904,0.09125475285171103,0.16433566433566432
0.09,1.0,0.04878048780487805,0.09302325581395349,0.18181818181818182
0.09999999999999999,1.0,0.04979253112033195,0.09486166007905138,0.1993006993006993
0.11,1.0,0.05084745762711865,0.0967741935483871,0.21678321678321677
0.12,1.0,0.05194805194805195,0.09876543209876544,0.23426573426573427
0.13,1.0,0.05309734513274336,0.10084033613445377,0.2517482517482518
0.14,1.0,0.05429864253393665,0.10300429184549356,0.2692307692307692
0.15000000000000002,1.0,0.05555555555555555,0.10526315789473684,0.2867132867132867
0.16,1.0,0.05687203791469194,0.10762331838565023,0.3041958041958042
0.17,1.0,0.05825242718446602,0.11009174311926606,0.32167832167832167
0.18000000000000002,1.0,0.05970149253731343,0.11267605633802817,0.33916083916083917
0.19,1.0,0.061224489795918366,0.11538461538461538,0.35664335664335667
0.2,1.0,0.06282722513089005,0.11822660098522166,0.3741258741258741
0.21000000000000002,0.9583333333333334,0.06199460916442048,0.11645569620253164,0.38986013986013984
0.22,0.9583333333333334,0.06371191135734072,0.11948051948051949,0.40734265734265734
0.23,0.9583333333333334,0.06552706552706553,0.12266666666666667,0.42482517482517484
0.24000000000000002,0.9583333333333334,0.06744868035190615,0.12602739726027395,0.4423076923076923
0.25,0.9583333333333334,0.06948640483383686,0.1295774647887324,0.4597902097902098
0.26,0.9583333333333334,0.07165109034267912,0.13333333333333333,0.4772727272727273
0.27,0.9583333333333334,0.07395498392282958,0.13731343283582087,0.49475524475524474
0.28,0.9583333333333334,0.07641196013289037,0.14153846153846153,0.5122377622377622
0.29000000000000004,0.9583333333333334,0.07903780068728522,0.146031746031746,0.5297202797202797
0.3,0.9583333333333334,0.08185053380782918,0.15081967213114753,0.5472027972027972
0.31,0.9583333333333334,0.08487084870848709,0.15593220338983052,0.5646853146853147
0.32,0.9583333333333334,0.08812260536398467,0.16140350877192983,0.5821678321678322
0.33,0.9583333333333334,0.09163346613545817,0.16727272727272727,0.5996503496503497
0.34,0.9583333333333334,0.0954356846473029,0.17358490566037735,0.6171328671328671
0.35000000000000003,0.9583333333333334,0.09956709956709957,0.1803921568627451,0.6346153846153846
0.36000000000000004,0.9166666666666666,0.1,0.18032786885245905,0.6503496503496503
0.37,0.9166666666666666,0.10476190476190476,0.18803418803418803,0.6678321678321678
0.38,0.9166666666666666,0.11,0.19642857142857142,0.6853146853146853
0.39,0.9166666666666666,0.11578947368421053,0.205607476635514,0.7027972027972028
0.4,0.9166666666666666,0.12222222222222222,0.21568627450980393,0.7202797202797203
0.41000000000000003,0.9166666666666666,0.12941176470588237,0.2268041237113402,0.7377622377622378
0.42000000000000004,0.9166666666666666,0.1375,0.23913043478260868,0.7552447552447552
0.43,0.875,0.14093959731543623,0.24277456647398843,0.7709790209790209
0.44,0.875,0.1510791366906475,0.25766871165644173,0.7884615384615384
0.45,0.875,0.16279069767441862,0.2745098039215686,0.8059440559440559
0.46,0.875,0.17647058823529413,0.2937062937062937,0.8234265734265734
0.47000000000000003,0.875,0.1926605504587156,0.31578947368421056,0.8409090909090909
